genotype,concentration,length
hy5,0.4,NA
Kas-1-1,0.06,9.76
Se-0,0.06,NA
Chi-0,0.06,6.29
Ms-0-1,0.06,8.36
Col-0,0.06,NA
hy5,0.06,NA
Kas-1-1,0,NA
Se-0,0,NA
Chi-0,0,NA
Ms-0-1,0,NA
Col-0,0,10.25
hy5,0,NA
Kas-1-1,217,NA
Se-0,217,NA
Chi-0,217,NA
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,NA
Kas-1-1,123,NA
Se-0,123,NA
Chi-0,123,NA
Ms-0-1,123,NA
Col-0,123,1.13
hy5,123,NA
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,2.86
Ms-0-1,29,NA
Col-0,29,NA
hy5,29,NA
Kas-1-1,5.6,NA
Se-0,5.6,NA
Chi-0,5.6,NA
Ms-0-1,5.6,NA
Col-0,5.6,NA
hy5,5.6,NA
Kas-1-1,2.2,7.17
Se-0,2.2,NA
Chi-0,2.2,NA
Ms-0-1,2.2,5.81
Col-0,2.2,NA
hy5,2.2,NA
Kas-1-1,0.4,7.37
Se-0,0.4,NA
Chi-0,0.4,NA
Ms-0-1,0.4,5.14
Col-0,0.4,7.81
hy5,0.4,NA
Kas-1-1,0.06,10.37
Se-0,0.06,NA
Chi-0,0.06,5.6
Ms-0-1,0.06,6.16
Col-0,0.06,NA
hy5,0.06,NA
Kas-1-1,0,NA
Se-0,0,NA
Chi-0,0,NA
Ms-0-1,0,NA
Col-0,0,13.09
hy5,0,NA
Kas-1-1,217,NA
Se-0,217,NA
Chi-0,217,NA
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,NA
Kas-1-1,123,NA
Se-0,123,NA
Chi-0,123,NA
Ms-0-1,123,NA
Col-0,123,0.89
hy5,123,NA
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,2.88
Ms-0-1,29,NA
Col-0,29,NA
hy5,29,NA
Kas-1-1,5.6,NA
Se-0,5.6,NA
Chi-0,5.6,NA
Ms-0-1,5.6,NA
Col-0,5.6,NA
hy5,5.6,NA
Kas-1-1,2.2,10.96
Se-0,2.2,NA
Chi-0,2.2,NA
Ms-0-1,2.2,5.05
Col-0,2.2,NA
hy5,2.2,NA
Kas-1-1,0.4,6.99
Se-0,0.4,NA
Chi-0,0.4,NA
Ms-0-1,0.4,7.77
Col-0,0.4,7.76
hy5,0.4,NA
Kas-1-1,0.06,9.01
Se-0,0.06,NA
Chi-0,0.06,5.69
Ms-0-1,0.06,4.24
Col-0,0.06,NA
hy5,0.06,NA
Kas-1-1,0,NA
Se-0,0,NA
Chi-0,0,NA
Ms-0-1,0,NA
Col-0,0,NA
hy5,0,NA
Kas-1-1,217,NA
Se-0,217,NA
Chi-0,217,NA
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,NA
Kas-1-1,123,NA
Se-0,123,NA
Chi-0,123,NA
Ms-0-1,123,NA
Col-0,123,0.99
hy5,123,NA
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,3.4
Ms-0-1,29,NA
Col-0,29,NA
hy5,29,NA
Kas-1-1,5.6,NA
Se-0,5.6,NA
Chi-0,5.6,NA
Ms-0-1,5.6,NA
Col-0,5.6,NA
hy5,5.6,NA
Kas-1-1,2.2,8.04
Se-0,2.2,NA
Chi-0,2.2,NA
Ms-0-1,2.2,3.11
Col-0,2.2,NA
hy5,2.2,NA
Kas-1-1,0.4,7.82
Se-0,0.4,NA
Chi-0,0.4,NA
Ms-0-1,0.4,6.34
Col-0,0.4,NA
hy5,0.4,NA
Kas-1-1,0.06,8.97
Se-0,0.06,NA
Chi-0,0.06,NA
Ms-0-1,0.06,7.04
Col-0,0.06,NA
hy5,0.06,NA
Kas-1-1,0,NA
Se-0,0,NA
Chi-0,0,NA
Ms-0-1,0,NA
Col-0,0,NA
hy5,0,NA
Kas-1-1,217,NA
Se-0,217,NA
Chi-0,217,NA
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,NA
Kas-1-1,123,NA
Se-0,123,NA
Chi-0,123,NA
Ms-0-1,123,NA
Col-0,123,NA
hy5,123,NA
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,3.19
Ms-0-1,29,NA
Col-0,29,NA
hy5,29,NA
Kas-1-1,5.6,NA
Se-0,5.6,NA
Chi-0,5.6,NA
Ms-0-1,5.6,NA
Col-0,5.6,NA
hy5,5.6,NA
Kas-1-1,2.2,NA
Se-0,2.2,NA
Chi-0,2.2,NA
Ms-0-1,2.2,5.01
Col-0,2.2,NA
hy5,2.2,NA
Kas-1-1,0.4,9.15
Se-0,0.4,NA
Chi-0,0.4,NA
Ms-0-1,0.4,7.41
Col-0,0.4,NA
hy5,0.4,NA
Kas-1-1,0.06,7.7
Se-0,0.06,NA
Chi-0,0.06,NA
Ms-0-1,0.06,7.06
Col-0,0.06,NA
hy5,0.06,NA
Kas-1-1,0,NA
Se-0,0,NA
Chi-0,0,NA
Ms-0-1,0,NA
Col-0,0,NA
hy5,0,NA
Kas-1-1,217,NA
Se-0,217,NA
Chi-0,217,NA
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,NA
Kas-1-1,123,NA
Se-0,123,NA
Chi-0,123,NA
Ms-0-1,123,NA
Col-0,123,NA
hy5,123,NA
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,3.65
Ms-0-1,29,NA
Col-0,29,NA
hy5,29,NA
Kas-1-1,5.6,NA
Se-0,5.6,NA
Chi-0,5.6,NA
Ms-0-1,5.6,NA
Col-0,5.6,NA
hy5,5.6,NA
Kas-1-1,2.2,NA
Se-0,2.2,NA
Chi-0,2.2,NA
Ms-0-1,2.2,4.08
Col-0,2.2,NA
hy5,2.2,NA
Kas-1-1,0.4,9.45
Se-0,0.4,NA
Chi-0,0.4,NA
Ms-0-1,0.4,NA
Col-0,0.4,NA
hy5,0.4,NA
Kas-1-1,0.06,NA
Se-0,0.06,NA
Chi-0,0.06,NA
Ms-0-1,0.06,7.41
Col-0,0.06,NA
hy5,0.06,NA
Kas-1-1,0,NA
Se-0,0,NA
Chi-0,0,NA
Ms-0-1,0,NA
Col-0,0,NA
hy5,0,NA
Kas-1-1,217,NA
Se-0,217,NA
Chi-0,217,NA
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,NA
Kas-1-1,123,NA
Se-0,123,NA
Chi-0,123,NA
Ms-0-1,123,NA
Col-0,123,NA
hy5,123,NA
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,2.43
Ms-0-1,29,NA
Col-0,29,NA
hy5,29,NA
Kas-1-1,5.6,NA
Se-0,5.6,NA
Chi-0,5.6,NA
Ms-0-1,5.6,NA
Col-0,5.6,NA
hy5,5.6,NA
Kas-1-1,2.2,NA
Se-0,2.2,NA
Chi-0,2.2,NA
Ms-0-1,2.2,NA
Col-0,2.2,NA
hy5,2.2,NA
Kas-1-1,0.4,8.23
Se-0,0.4,NA
Chi-0,0.4,NA
Ms-0-1,0.4,NA
Col-0,0.4,NA
hy5,0.4,NA
Kas-1-1,0.06,NA
Se-0,0.06,NA
Chi-0,0.06,NA
Ms-0-1,0.06,NA
Col-0,0.06,NA
hy5,0.06,NA
Kas-1-1,0,NA
Se-0,0,NA
Chi-0,0,NA
Ms-0-1,0,NA
Col-0,0,NA
hy5,0,NA
Kas-1-1,217,NA
Se-0,217,NA
Chi-0,217,NA
Ms-0-1,217,NA
Col-0,217,NA
hy5,217,NA
Kas-1-1,123,NA
Se-0,123,NA
Chi-0,123,NA
Ms-0-1,123,NA
Col-0,123,NA
hy5,123,NA
Kas-1-1,29,NA
Se-0,29,NA
Chi-0,29,2.68
Ms-0-1,29,NA
Col-0,29,NA
hy5,29,NA
Kas-1-1,5.6,NA
Se-0,5.6,NA
Chi-0,5.6,NA
Ms-0-1,5.6,NA
Col-0,5.6,NA
hy5,5.6,NA
Kas-1-1,2.2,NA
Se-0,2.2,NA
Chi-0,2.2,NA
Ms-0-1,2.2,NA
Col-0,2.2,NA
hy5,2.2,NA
Kas-1-1,0.4,NA
Se-0,0.4,NA
Chi-0,0.4,NA
Ms-0-1,0.4,NA
Col-0,0.4,NA
hy5,0.4,NA
Kas-1-1,0.06,NA
Se-0,0.06,NA
Chi-0,0.06,NA
Ms-0-1,0.06,NA
Col-0,0.06,NA
hy5,0.06,NA
Kas-1-1,0,NA
Se-0,0,NA
Chi-0,0,NA
Ms-0-1,0,NA
Col-0,0,NA
hy5,0,NA
